,Q,A,A1,A2,A3,Why
0,何者為分級醫療的主要目標？,減少醫療資源浪費,施行單向轉診制度,教學與醫療一體化,鼓勵民眾到大醫院看診,為了紓解醫院擁擠情形，健保署推動雙向轉診制度，並調整門急診部分負擔，期望建立制度，目的在促使醫療資源有效運用，院所分工合作，民眾得到最好的照護，慢慢導引大家有病先找家庭醫師，病情需要再轉診至醫院。
1,轉診的報到方式，下列何者正確？,到轉診中心櫃台報到,先找醫師報到,到一般掛號櫃台報到,以上皆是,不管是持轉診單還是透過電子轉診平台轉診，都需要先到轉診中心櫃台報到，原則上建議持轉診單的病人到轉診醫院就直接到轉診中心，因為轉診辦法規定，每家醫院都須設置轉診設施(櫃台)，給需要轉診病人作適當安排。
2,若基層院所使用紙本轉診單，轉診院所該如何處理？,可直接使用紙本資料,不受理轉診,要求基層院所提供電子檔,須轉換為電子轉診資料,基層院所使用紙本轉診單時，接受轉診的院所不需轉換為電子轉診資料。但電子轉診平台能夠強化診所與醫院合作轉診，提升轉診效率與品質，因此未來仍朝向使用安全、有效率、一致性的健保轉診平台系統為目標。
3,民眾因出國需要，請醫師開立備用藥物，下列何者正確？,不在保險醫療給付範圍,是針對保險對象的診療照護,單次可領取6個月份量,屬違法行為,查現行全民健康保險醫療給付，係針對保險對象之傷病或生育提供診療照護。民眾如為出國需要之「備藥」，屬自己的保健行為，不在本保險醫療給付範圍。
4,何種平台可查詢各院所之醫療品質資訊？,全民健康保險醫療品質資訊網,醫事人員溝通平台,全民健保行動快易通APP,各院所的官方網站,健保署目前已公布診所別醫療品質資訊於「全民健康保險醫療品質資訊網」，其中西醫基層共計提供約30項品質指標項目供民眾查詢，民眾可以透過該平台查詢相關院所別品質資訊。
5,只有病人在何種條件下才適合開立慢性病處方箋？,病情穩定的慢性病患,病情危急的慢性病患,病患工作繁忙無法就診,65歲以上的病患,不分院所皆可開立慢性病處方箋，但先決條件是病人是否適合開立慢性病處方箋，只有病情穩定的慢性病患者才適合開立慢性病處方箋。
6,病患換了看診醫院，須讓醫師瞭解其病歷，下列何者錯誤？,以個人的醫療知識告知醫師,網路查詢「健康存摺」,出示固定服用的藥物藥袋,提供病史和藥物過敏紀錄,健保署有建置「健康存摺」系統，病患可以透過網路查詢過去3年的就診資料；亦可請醫師利用健保雲端查詢系統，查詢近3個月內的用藥資訊及就醫紀錄。病人也可以提供病史、藥物過敏紀錄、近期健康檢查資料或固定服用的藥物藥袋，協助醫師診斷。
7,假日時身體不舒服，查詢居家附近醫療院所的方法，何者錯誤？,撥打「104」,全民健保行動快易通APP,健保署全球資訊網,全民健保諮詢專線,"查詢醫療院所看診時段有下列3種方式：
一、下載全民健保行動快易通APP查詢
二、健保署全球資訊網查詢：http://www.nhi.gov.tw
三、全民健保諮詢專線:0800-030-59"
8,健保署全球資訊網，其網址為http://？,www.nhi.gov.tw,www.ntu.gov.tw,www.ctn.gov.tw,www.nbi.gov.tw,健保署全球資訊網：http://www.nhi.gov.tw
9,全民健保諮詢專線，其號碼為？,0800-030-598,0800-031-598,0800-032-598,0800-033-598,全民健保諮詢專線：0800-030-598
10,依健保法規定，可減輕、減免基本部分負擔的民眾，不包含下列何者？,65歲以上老人,重大傷患,分娩,山地離島地區民眾,重大傷病、分娩及山地離島地區就醫等民眾，依健保法規定免部分負擔。
